,node,id2,id1
0,B05,0,1
1,B24,1,1
2,G16,2,5
3,A63,3,0
4,B67,4,1
5,F27,5,4
6,B21,6,1
7,B28,7,1
8,C03,8,3
9,C04,9,3
10,H02,10,2
11,B82,11,1
12,F22,12,4
13,A01,13,0
14,A24,14,0
15,G08,15,5
16,B68,16,1
17,G10,17,5
18,C12,18,3
19,F26,19,4
20,C21,20,3
21,H03,21,2
22,C13,22,3
23,B29,23,1
24,F21,24,4
25,B07,25,1
26,B62,26,1
27,B42,27,1
28,E06,28,7
29,C10,29,3
30,E03,30,7
31,B04,31,1
32,B81,32,1
33,A44,33,0
34,D02,34,6
35,F15,35,4
36,H01,36,2
37,C22,37,3
38,C23,38,3
39,A47,39,0
40,F02,40,4
41,B63,41,1
42,B08,42,1
43,H04,43,2
44,B09,44,1
45,A46,45,0
46,B06,46,1
47,F42,47,4
48,B26,48,1
49,C11,49,3
50,A45,50,0
51,F17,51,4
52,E02,52,7
53,C08,53,3
54,F01,54,4
55,F04,55,4
56,E05,56,7
57,A61,57,0
58,G05,58,5
59,G03,59,5
60,B25,60,1
61,B61,61,1
62,D06,62,6
63,C09,63,3
64,G01,64,5
65,C30,65,3
66,G11,66,5
67,D21,67,6
68,G04,68,5
69,F16,69,4
70,E04,70,7
71,F03,71,4
72,C07,72,3
73,C02,73,3
74,A43,74,0
75,B23,75,1
76,H05,76,2
77,F25,77,4
78,B33,78,1
79,G06,79,5
80,B22,80,1
81,G21,81,5
82,G07,82,5
83,D01,83,6
84,E01,84,7
85,A62,85,0
86,B01,86,1
87,A41,87,0
88,G02,88,5
89,B60,89,1
90,B30,90,1
91,B27,91,1
92,G12,92,5
93,G09,93,5
94,B43,94,1
95,A42,95,0
96,B66,96,1
97,B32,97,1
98,C06,98,3
99,B02,99,1
100,A23,100,0
101,C25,101,3
102,C40,102,3
103,F24,103,4
104,F28,104,4
105,E21,105,7
106,C14,106,3
107,C01,107,3
108,D04,108,6
109,B44,109,1
110,B03,110,1
111,D03,111,6
112,B64,112,1
113,A21,113,0
114,B41,114,1
115,F41,115,4
116,C05,116,3
117,F23,117,4
118,B65,118,1
